Ts (degC),I (a.u.),P (W),q (slm)
3.364999999999999858e+01,9.373739595676680328e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.361999999999999744e+01,6.896790068796993000e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.342999999999999972e+01,6.303912662593983114e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.289999999999999858e+01,5.622199607424794231e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.292999999999999972e+01,6.410618917669135844e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.321000000000000085e+01,6.092020268796973396e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.340999999999999659e+01,5.676139100751854712e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.338000000000000256e+01,5.535968112406003056e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.338000000000000256e+01,5.558792031203007791e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.334000000000000341e+01,5.471758594736834057e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.329999999999999716e+01,5.834297721992438892e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.339000000000000057e+01,6.008623285714269150e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.334000000000000341e+01,5.870334580827048048e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.338000000000000256e+01,5.559638319642847637e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.345000000000000284e+01,5.664512797556384467e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.350000000000000000e+01,5.624867818139119772e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.364999999999999858e+01,5.468826765789481578e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.367999999999999972e+01,5.814851565789477900e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.363000000000000256e+01,5.688468796522528864e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.357999999999999829e+01,5.751549929605266079e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.360999999999999943e+01,5.587706270300747128e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.360999999999999943e+01,5.687342875657891855e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.385999999999999943e+01,5.183676835996258887e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.375999999999999801e+01,5.439409927443601191e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.375000000000000000e+01,5.689323707988726674e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.374000000000000199e+01,5.369181537406017305e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.382000000000000028e+01,5.630575029699250590e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.374000000000000199e+01,5.808132996428571641e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.368999999999999773e+01,5.694763605733097065e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.367999999999999972e+01,5.730156201315798098e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.365999999999999659e+01,5.397827230827064486e+05,1.500000000000000000e+00,3.500000000000000000e+00
3.368999999999999773e+01,5.542514221240585903e+05,1.500000000000000000e+00,3.500000000000000000e+00
