t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
5.050000000000000000e+02,5.800000000000000000e+01,2.000000000000000042e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,4.000000000000000083e-02,0.000000000000000000e+00,1.000049999999999955e+02,2.999999999999999889e-02,1.459999999999999964e+00
2.116000000000000000e+03,6.300000000000000000e+01,4.809999999999999609e+00,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.580000000000000071e+00,1.500000000000000000e+00,1.000040000000000049e+02,1.070000000000000062e+00,1.479999999999999982e+00
2.639000000000000000e+03,6.100000000000000000e+01,4.839999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.590000000000000080e+00,0.000000000000000000e+00,1.000049999999999955e+02,1.090000000000000080e+00,1.459999999999999964e+00
3.140000000000000000e+03,5.900000000000000000e+01,4.809999999999999609e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.580000000000000071e+00,0.000000000000000000e+00,1.000040000000000049e+02,1.070000000000000062e+00,1.469999999999999973e+00
3.642000000000000000e+03,5.900000000000000000e+01,4.769999999999999574e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.560000000000000053e+00,0.000000000000000000e+00,1.000049999999999955e+02,1.070000000000000062e+00,1.449999999999999956e+00
4.143000000000000000e+03,6.000000000000000000e+01,4.740000000000000213e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.550000000000000044e+00,0.000000000000000000e+00,1.000049999999999955e+02,1.060000000000000053e+00,1.459999999999999964e+00
4.643000000000000000e+03,5.900000000000000000e+01,4.700000000000000178e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.560000000000000053e+00,0.000000000000000000e+00,1.000040000000000049e+02,1.060000000000000053e+00,1.469999999999999973e+00
5.144000000000000000e+03,6.000000000000000000e+01,4.669999999999999929e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.540000000000000036e+00,0.000000000000000000e+00,1.000040000000000049e+02,1.050000000000000044e+00,1.459999999999999964e+00
5.645000000000000000e+03,5.800000000000000000e+01,4.650000000000000355e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.530000000000000027e+00,0.000000000000000000e+00,1.000049999999999955e+02,1.050000000000000044e+00,1.459999999999999964e+00
6.147000000000000000e+03,5.900000000000000000e+01,4.629999999999999893e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.530000000000000027e+00,0.000000000000000000e+00,1.000030000000000001e+02,1.040000000000000036e+00,1.469999999999999973e+00
