Ts (degC),I (a.u.),P (W),q (slm)
3.277000000000000313e+01,1.549008418984960997e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.289999999999999858e+01,1.365611924323302228e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.214999999999999858e+01,1.352694014971808763e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.173000000000000043e+01,1.393313519548874116e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.144000000000000128e+01,1.391719491541350493e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.133999999999999986e+01,1.384856424896608572e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.126999999999999957e+01,1.353545846785711823e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.117999999999999972e+01,1.373223716024433263e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.105000000000000071e+01,1.389705645338340430e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.107999999999999829e+01,1.386007845281953458e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.096000000000000085e+01,1.405806806447367882e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.073000000000000043e+01,1.407827304699246306e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.066000000000000014e+01,1.362861918045115424e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.069000000000000128e+01,1.384527271663537482e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.064999999999999858e+01,1.389847432528192876e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.060000000000000142e+01,1.396492090234968346e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.053999999999999915e+01,1.390757161804515868e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.053000000000000114e+01,1.385972737246247241e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.053999999999999915e+01,1.358432392612779979e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.042000000000000171e+01,1.386555407453012420e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.048000000000000043e+01,1.343817594868420856e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.041000000000000014e+01,1.328755754802639363e+06,0.000000000000000000e+00,0.000000000000000000e+00
