Ts (degC),I (a.u.),P (W),q (slm)
3.503999999999999915e+01,3.178401674774439911e+01,3.498396321465251368e+00,3.505787402998292279e+00
3.921999999999999886e+01,4.479607722800659531e+01,3.498153462095250354e+00,3.506762549510186400e+00
4.179999999999999716e+01,5.109196554868479012e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.164999999999999858e+01,5.066817336992555454e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.174000000000000199e+01,4.831266315451104276e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.222999999999999687e+01,5.000247820206840288e+01,3.500000000000000000e+00,4.235080881452526924e+00
4.293999999999999773e+01,4.964367900451085092e+01,3.101530415366907434e+00,7.500000000000000000e+00
4.274000000000000199e+01,4.675574865225596710e+01,3.500000000000000000e+00,7.256982776456881723e+00
4.229999999999999716e+01,4.627670751202961696e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.225000000000000000e+01,4.957523927650372286e+01,3.500000000000000000e+00,4.155284868326055481e+00
4.296000000000000085e+01,4.846328525075208660e+01,3.202377099789266879e+00,7.500000000000000000e+00
4.352000000000000313e+01,5.082850992124076583e+01,2.380981075863326968e+00,7.500000000000000000e+00
4.317999999999999972e+01,4.670830968890943780e+01,3.075739679522633274e+00,7.500000000000000000e+00
4.289999999999999858e+01,4.755498739680468390e+01,3.338060274959630647e+00,7.500000000000000000e+00
4.286999999999999744e+01,4.721463654812068000e+01,3.397627120642372489e+00,7.500000000000000000e+00
4.309000000000000341e+01,4.567698342293239477e+01,3.255182600091472978e+00,7.500000000000000000e+00
4.325000000000000000e+01,4.587155338872113930e+01,3.055625063928884444e+00,7.500000000000000000e+00
4.324000000000000199e+01,4.704626087255562794e+01,2.981301753821548495e+00,7.500000000000000000e+00
4.359000000000000341e+01,4.520634850150331374e+01,2.710383835290042676e+00,7.500000000000000000e+00
4.367000000000000171e+01,4.628307869661712459e+01,2.538980197884505685e+00,7.500000000000000000e+00
4.378999999999999915e+01,4.644431204266928859e+01,2.388152118387376177e+00,7.500000000000000000e+00
4.375999999999999801e+01,4.472650418797043415e+01,2.548341755632343109e+00,7.500000000000000000e+00
4.357000000000000028e+01,4.341074616710457690e+01,2.864440853934639541e+00,7.500000000000000000e+00
4.350000000000000000e+01,4.593248862011346745e+01,2.761147819842963536e+00,7.500000000000000000e+00
4.384000000000000341e+01,4.577789500432330527e+01,2.378636635394845378e+00,7.500000000000000000e+00
4.400000000000000000e+01,4.439740762048834455e+01,2.294140524671030690e+00,7.500000000000000000e+00
4.352000000000000313e+01,4.366736989398420832e+01,2.903259032206753965e+00,7.500000000000000000e+00
4.335999999999999943e+01,4.594576068947437619e+01,2.921976036572540458e+00,7.500000000000000000e+00
4.388000000000000256e+01,4.623982313289451440e+01,2.298235629547533687e+00,7.500000000000000000e+00
4.407999999999999829e+01,4.397898142781880182e+01,2.231748127900213152e+00,7.500000000000000000e+00
4.360999999999999943e+01,4.180477650000003109e+01,2.934818452950530787e+00,7.500000000000000000e+00
4.342000000000000171e+01,4.597394073947445747e+01,2.850099430928931810e+00,7.500000000000000000e+00
4.397999999999999687e+01,4.656643626879634468e+01,2.158223695797141684e+00,7.500000000000000000e+00
