Ts (degC),I (a.u.),P (W),q (slm)
3.478999999999999915e+01,3.295973682124061099e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.847999999999999687e+01,4.635997145413603704e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.978000000000000114e+01,5.080824334567609668e+01,3.496694104505144729e+00,3.500406544969667522e+00
3.960000000000000142e+01,4.957653026672959129e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.992000000000000171e+01,4.919478150056417576e+01,3.495762476600191349e+00,3.502704215480859418e+00
4.039999999999999858e+01,5.022221508609100482e+01,3.484612399988367137e+00,3.530203608846281593e+00
4.097999999999999687e+01,4.888699366297045401e+01,3.488772897464938794e+00,3.519942589062547089e+00
4.159000000000000341e+01,4.924654429567604552e+01,3.495611328881654600e+00,3.503076990548962488e+00
4.222999999999999687e+01,4.970324687030066002e+01,3.500000000000000000e+00,3.959880561926137688e+00
4.268999999999999773e+01,4.952754654981193738e+01,3.500000000000000000e+00,7.461762027209719150e+00
4.282000000000000028e+01,5.054708390695505926e+01,3.075254349527477338e+00,7.489093028760571258e+00
4.164000000000000057e+01,4.687796649981179797e+01,3.493185914287824545e+00,3.509058781734077925e+00
4.154999999999999716e+01,5.015578575507526438e+01,3.496478515486750371e+00,3.500938251381065847e+00
4.232999999999999829e+01,5.030188692180506393e+01,3.467880770353117370e+00,5.586972108923596636e+00
4.318999999999999773e+01,4.941683428308203219e+01,2.801311364218705968e+00,7.500000000000000000e+00
4.328999999999999915e+01,5.059225131879632187e+01,2.596574576636261789e+00,7.500000000000000000e+00
4.267999999999999972e+01,4.774663046109070308e+01,3.499641205855210657e+00,7.129468304311554760e+00
4.249000000000000199e+01,4.772645257951072750e+01,3.446618382019553728e+00,5.603351507669742659e+00
4.272999999999999687e+01,5.051233557462386869e+01,3.193910835665611181e+00,7.473355336405525406e+00
4.274000000000000199e+01,4.822617173684140113e+01,3.432473294008796305e+00,7.455034670010061149e+00
4.292999999999999972e+01,4.664453378627867153e+01,3.338274612515099715e+00,7.459970396329675069e+00
4.303000000000000114e+01,4.744292254680525645e+01,3.166633022505815909e+00,7.471601597822813190e+00
4.296000000000000085e+01,4.758870835714311909e+01,3.229755805703205862e+00,7.465895306484934935e+00
4.307999999999999829e+01,4.709124596898436721e+01,3.148932420822320388e+00,7.471584389929255110e+00
4.313000000000000256e+01,4.689790293665363663e+01,3.107037188902099345e+00,7.476006432669794144e+00
4.314999999999999858e+01,4.702216074586383598e+01,3.076636716038104513e+00,7.477597155357685210e+00
4.338000000000000256e+01,4.777351952086401354e+01,2.773453483251183016e+00,7.498987411760625221e+00
4.350000000000000000e+01,4.699307404624075701e+01,2.694330832845937884e+00,7.500000000000000000e+00
4.360999999999999943e+01,4.726118857161712583e+01,2.555432968733511778e+00,7.500000000000000000e+00
4.372999999999999687e+01,4.683528005582734721e+01,2.452378129125604822e+00,7.500000000000000000e+00
4.372999999999999687e+01,4.706078697631524932e+01,2.437067275690180779e+00,7.500000000000000000e+00
4.343999999999999773e+01,4.596662594943531843e+01,2.829066072594230707e+00,7.500000000000000000e+00
4.332000000000000028e+01,4.658680878439896844e+01,2.918841796400801325e+00,7.490995717219602668e+00
4.360999999999999943e+01,4.791251777763094566e+01,2.511050177822220508e+00,7.500000000000000000e+00
4.392000000000000171e+01,4.703868739172933999e+01,2.229689294034906677e+00,7.500000000000000000e+00
4.353999999999999915e+01,4.448432772575170446e+01,2.818969510593714922e+00,7.500000000000000000e+00
4.336999999999999744e+01,4.668060513721798799e+01,2.857279718617997233e+00,7.494126671833045705e+00
4.360999999999999943e+01,4.634946860808228308e+01,2.616143997203489668e+00,7.500000000000000000e+00
4.388000000000000256e+01,4.600181036052607197e+01,2.343183862197471434e+00,7.500000000000000000e+00
4.392999999999999972e+01,4.590486537124066757e+01,2.294743567042794474e+00,7.500000000000000000e+00
4.356000000000000227e+01,4.501217765864655007e+01,2.760939058138194735e+00,7.500000000000000000e+00
4.340999999999999659e+01,4.579351500056431234e+01,2.872761258824955366e+00,7.495815863847084870e+00
4.377000000000000313e+01,4.697572944473761680e+01,2.397820671941046200e+00,7.500000000000000000e+00
4.411999999999999744e+01,4.597353668909797619e+01,2.081208551911022830e+00,7.500000000000000000e+00
4.367999999999999972e+01,4.336839725300668391e+01,2.739754003905949808e+00,7.500000000000000000e+00
4.310000000000000142e+01,4.598284463007496470e+01,3.199815634234298045e+00,7.464867062400829312e+00
4.368999999999999773e+01,4.648286436146607770e+01,2.518493233784290908e+00,7.500000000000000000e+00
4.396999999999999886e+01,4.595107986485002272e+01,2.246975389968681291e+00,7.500000000000000000e+00
4.393999999999999773e+01,4.483552880526351458e+01,2.355053151060642946e+00,7.500000000000000000e+00
4.374000000000000199e+01,4.420734872932312243e+01,2.616827217749716716e+00,7.500000000000000000e+00
4.375000000000000000e+01,4.548235925526348211e+01,2.519733121948065424e+00,7.500000000000000000e+00
4.374000000000000199e+01,4.575113405808196632e+01,2.512476963476488301e+00,7.500000000000000000e+00
4.386999999999999744e+01,4.624409769022481953e+01,2.336445031979061060e+00,7.500000000000000000e+00
4.385000000000000142e+01,4.397583525507493363e+01,2.511324877954590029e+00,7.500000000000000000e+00
4.364000000000000057e+01,4.551549877725612703e+01,2.637819549720185730e+00,7.500000000000000000e+00
4.374000000000000199e+01,4.622325953120234487e+01,2.480226959606746995e+00,7.500000000000000000e+00
4.392999999999999972e+01,4.541375692161726363e+01,2.326218884910865814e+00,7.500000000000000000e+00
4.389999999999999858e+01,4.483699964718035602e+01,2.397948036424284446e+00,7.500000000000000000e+00
4.375000000000000000e+01,4.414405078872092503e+01,2.609219030095689007e+00,7.500000000000000000e+00
4.378999999999999915e+01,4.546687969116590011e+01,2.475972999206402569e+00,7.500000000000000000e+00
4.392000000000000171e+01,4.518698857556442050e+01,2.352080640766302189e+00,7.500000000000000000e+00
4.390999999999999659e+01,4.447612353214336167e+01,2.410908181184915122e+00,7.500000000000000000e+00
4.364999999999999858e+01,4.486886049755541706e+01,2.669655128173748615e+00,7.500000000000000000e+00
4.381000000000000227e+01,4.515837244680534468e+01,2.474429936729969803e+00,7.500000000000000000e+00
4.410999999999999943e+01,4.424250850319496919e+01,2.206866427495643102e+00,7.500000000000000000e+00
4.393999999999999773e+01,4.349185928007502611e+01,2.443967514009080411e+00,7.500000000000000000e+00
4.367000000000000171e+01,4.329771800188018460e+01,2.753283155990677411e+00,7.500000000000000000e+00
4.379999999999999716e+01,4.650407946992554287e+01,2.394188733687113491e+00,7.500000000000000000e+00
4.409000000000000341e+01,4.592226171090286613e+01,2.115063784324176410e+00,7.500000000000000000e+00
4.381000000000000227e+01,4.314135050639000468e+01,2.609869254716601361e+00,7.500000000000000000e+00
4.359000000000000341e+01,4.581677007067568752e+01,2.670714196109508887e+00,7.499873616772264384e+00
4.413000000000000256e+01,4.572742566315786661e+01,2.083998824722718801e+00,7.500000000000000000e+00
4.414999999999999858e+01,4.219217950770747905e+01,2.300441000294461080e+00,7.500000000000000000e+00
